artist,artist_ids
Paul Simon,2CvCyf1gEVhI0mX6aFXmVI
Atari Teenage Riot,1EMlPfrse4I1I1hA3iwhk9
Jessica Simpson,2tFN9ubMXEhdAQvdQxcsma
Bill Callahan,7gqsi6aBSkRMJoL9psKqMr
Blackalicious,42Np3r8zXnaKcjLQsQSjyG
Aerial M,3gZHM9buh6wS6JZfUvoERe
Her Space Holiday,1iSODCIgu4p3ZCYTmcP7iZ
Gastr Del Sol,6Xuaooorz7j46y1UrWxXMd
Santana,6GI52t8N5F02MxU0g5U69P
Corrosion of Conformity,1BBIIH0h76KN8gYeXFcPjR
Deep Purple,568ZhdwyaiCyOGJRtNYhWf
Bright Eyes,5o206eFLx38glA2bb4zqIU
East River Pipe,0oXeIbxeFdqMtDYxcwwUTN
OutKast,1G9G7WwrXka3Z1r7aIDjI7
Alice Cooper,3EhbVgyfGd7HkpsagwL9GS
Hieroglyphics,0XTSrpKEUhzQ5aiYswppxh
RJD2,1O3ZOjqFLEnbpZexcRjocn
The Wedding Present,4tyCvqG48h4LdcbFfWBjR9
Metric,1rCIEwPp5OnXW0ornlSsRl
Ozzy Osbourne,6ZLTlhejhndI4Rh53vYhrY
The Clientele,3xZBpeXHkSjTKQIR1OeKN0
Bad Brains,1oVj9JmPUPg4SQ2uerV2xc
Guided By Voices,4oV5EVJ0XFWsJKoOvdRPvl
Aerosmith,7Ey4PD4MYsKc5I2dolUwbH
Future,1RyvyyTE3xzB2ZywiAwp0i
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V
Travis Morrison,6a0uGWVP16JGrXopO0zcCj
The Dave Brubeck Quartet,4iRZAbYvBqnxrbs6K25aJ7
METZ,18TNVFTJ6WfeicsMRrdJHI
Slum Village,1020a42xVklY6c56imNcaa
Slaughterhouse,5rVbcJv0JRfhWLA3mgM73r
Ellen Allien,5lsC3H1vh9YSRQckyGv0Up
Guster,34XlPCFfB4vT7P1ekWq9Jc
Polvo,0pbIqPTefLfuOcbM2ojXdl
Lali Puna,2GkJdEJneopHc10XQV76rN
Gossip,3sFTupo9UGgrujjN21BjwR
B Boys,5q3Rqu9idb7essQqKJ7SOa
Film School,3Q5JOuj2Zs59ujPp1njIWS
