Label,label_id
Woodsist,811
Volt,4799
Killer Pimp,418
ATP,158
Clear Label,7995
Audio Eagle,32154
SONY BMG MUSIC ENTERTAINMENT,22981
Sprint,14891
Ruff House,12631
Merge / City Slang,2294
Undertow Music,32179
GTO,17372
Totally Gross National Product,2458
Feel Good All Over,11221
Beats In Space,21875
Allegiance Records,7364
Artemis,13433
"8ft. Records, 11 Records",15837
Frenchkiss,105
Triple Crown Audio/Endearing,3258
Revive Records,6150
"Arista Nashville, 19",7274
75 Ark,5578
Goner,1645
Rostrum,5066
Taang! Records,17076
Ingrooves,29311
Carpark,23
Poor Boy Records,30038
Mello Music Group,3334
twosyllable,13954
Warner,4214
Act Music + Vision,9760
Web of Mimicry,22119
"Epic, Syco",11594
Supply and Demand,3038
Under One Flag,13379
Upbeat,1675
Columbia â€Ž,23473
Righteous Babe,363
"Matador, Merge Records, Flying Nun Records",32085
Fake Four,2451
Quality Hill,1716
Good Mountain,11816
Javotti / 3D,1722
Megaphonic,5204
"Doggystyle, EMPIRE",20155
Warner Bros,313
"Island/UMG, Yep Roc Records",577
Straight Records,21220
Innovative Leisure,2309
Yep Rock,1266
Damaged Goods,31560
Columbia / Sony Music Distribution,8070
Slumberland / Tough Love,3399
Nihjgt Feelings,5350
DSFA Records,8888
Capitol Records,9
"Guided By Voices, Inc.",21884
Tompkins Square,915
1 Deep Entertainment,21751
"JYP Entertainment, Republic",28312
Cherry Red,2238
Contender,23137
2nd Story Sound,2574
Zoo Entertainment,3384
Bad,5381
RuCo Inc.,15289
Eleven Seven,7721
Mad Decent,2689
P.W. Elverum & Sun,183
"QN5, L.A. Underground",8454
Keeled Scales,22517
Magna Carta,24396
Legacy,8972
RCA Records,19
So So Def,15130
"Candlelight, Profound Lore",7872
Different,2786
Translation Loss Records,5910
La Face,428
No Sleep,3444
Heavenly,437
Straight,4105
Sargent House,1185
Profound Lore,1976
Hollywood / Good,7009
Pompeii,1941
Raven Marching Band,990
Ralph Records,15475
Colombia,9189
"Jive, Zomba",4060
Sun Ark,24201
Beyond Records,30438
Swell Records,9954
Elektra,1616
Secretly Canadian,13
Peaceville Records,5451
Columbia/Red Ink,2680
Armageddon,4455
