Label,label_id
Motor Music,8241
Domino Recording Co,27653
Montyray,28703
Kitchenware,1018
Platinum East,27699
September,27683
NNA Tapes,7615
"Them Hellas, The Blind Youth, EMPIRE",18453
Kanine Records,1016
Thrift Shop,7970
Compass Records,28694
GOD?,28142
RVNG INTL.,26952
"Freddy Got Magic, EMPIRE",25628
Bloodshot Records,39
Sony Music CG,26720
Upset The Rhythm,13497
Kate Bollinger,28738
Doghouse Records,20273
Las Fuegas,21207
Season Of Mist,16205
Profile,4367
Red Girl Media,28885
"Columbia Records, Sony",28304
Wharf Cat Records,25535
Step-Forward,6811
Record Company Ten/Big Beat,5759
Permanent,6827
Rockathon Records,8526
Zappo,28827
Astral Spirits,28676
Snakefarm Records,26487
Indie Recordings,4363
Big Beat,3121
Leaving,2289
River House,26090
Otsego,26942
"Columbia, Tan Cressida, Odd Future",5676
13th Planet,21582
Warner Bros. Records,9034
Mack Life,18542
London,3662
Lambent Light / Thirty Tigers,28937
Mirror Universe Tapes,11368
Famous Class,11451
Jealous Butcher,27828
"Nice Life, Atlantic",18250
Metropolis Records,4113
Awful Records/RCA,29057
Chainsaw,3914
Glorious Dead,15732
Terrible,1518
House of Mythology,15232
"Akira, The Orchard",24262
Cogumelo Records,5669
Unique Leader,19346
"1501 Certified, 300 Entertainment",27948
"SomeOthaShip Connect, eOne",28842
Heffa,7506
Dog Show,26032
Ruby Yacht,23700
"Atlantic, Poe Boy",4944
Music for Nations,17620
ill gotten,18638
Team Love,1883
Sooper,26337
Luminelle,22976
Solitaire,21576
Giant,6072
Vapor,3714
"Loud, RCA",25650
"Cactus Jack, Atlantic",28016
War Dog,28020
White Sun,19769
Sound Mind Music,28956
Baby Halo,23226
Mint Records,430
"Grunt, RCA",20451
Archer,30742
Gong Records,28533
555-5555,26843
"Highbridge the Label, Atlantic",27738
Tha Alumni Music Group,7433
"Tan Cressida, Warner",28912
Jean Sandwich Records,25989
Big Scary Monsters,21765
Treader,23068
"Brassland, Arts & Crafts",28594
Exploding In Sound,3367
"SHAM, Thirty Tigers",28714
Awesome Tapes From Africa,10548
Bmg Entertainment,17712
SPV/Steamhammer,18165
Canvasback,27472
Streamcut & RCA Records,29005
ASAP Worldwide / RCA,13065
Whatever's Clever,27903
Joyful Noise Recordings,26919
Artist Partners,14760
Megaforce / Music for Nations,12036
Brain Records,4289
"Highway 20, Thirty Tigers",27659
Agency 99,28115
Checkbook Records,25815
Retrohash,28119
"OVO Sound, Warner",27899
Thrill Forever,28486
Drag City Records,26660
"Aura, Sony",29052
Stony Plain,22508
Fake Record Label,14605
Forever Living Originals,25888
Cooking Vinyl Limited,27322
Alive,286
PNKSLM,12605
Akira,22765
b4 / Remote Control,28032
Cloud Recordings,185
The SpitSLAM Record,28138
Paper Route Empire,16222
Hogg Life,28118
"Atlantic, Rhino",4222
Uppity Cracker,7043
"Tha Alumni Music Group, 88 Classic, RCA",7432
Wharf Cat,15744
Audiogram,15226
E-Tron,28505
Eighteenth Street,2017
Lovers Music,28061
"Parkwood, Columbia",22661
Top Dawg Entertainment,2299
Kanine,1325
Annie Melody,28613
"Drag City, Carrot Top",29960
Dine Alone Records,28214
Basement's Basement,28184
Razor Sharp / Epic Street / Sony Music,5394
Unseen Worlds,26636
E.G.,8297
Outer Note,28811
YBNL Nation / EMPIRE,28997
Diana Gordon,23730
Brassland Projects,27743
Naked Music Recordings,24964
"Secretly Canadian, Rough Trade",9665
Dangerbird,70
Revenant,14160
TO3S,27841
Shrimper Records,82
Mutually Detrimental,18870
AntiFragile,27579
Love OnLine,27815
Warner Music Japan,12010
Honey,28840
Pro Era,22638
Dog Knights,25925
Radiokilla Records,28238
Revelation Records,6956
"Elektra, Atlantic",17046
Wrong Again Records,8361
Nevado,13689
"Mad Decent, Columbia",28470
"Taylamade, Atlantic",25178
Instant Records,27127
"Dangerous, EMPIRE",19470
Afterglo,29790
"Mangrove, Southern Lord",7751
Suicide Squeeze Records,9382
Better Noise,27292
MyMusicEmpire,31753
MCM,18110
"Erskine, Columbia",27110
Six Shooter,9643
"Infectious, Mute",8832
"Asylum , Warner Brothers",20639
2000 Zomba Recording LLC,11552
Milan,19782
Colpix,12526
Clivage,19125
Orchid Tapes,7890
"Epiphany, Thirty Tigers, RCA",27334
MCG,27698
Sahel Sounds,25506
"Straight, Warner Bros.",7218
Gearbox,20490
Lento,28660
"Empire, Atlantic",22104
Sonic Unyon,1981
Baby Making,19333
"TSNMI, Atlantic",28284
Memory Music,29001
"Qwest, Warner Bros.",12270
"Little Tokyo, RCA",17129
Transgressive,1296
Alfa Records,8920
Jive / BMG,5852
Warner Bros. Records â€Ž,22368
Dolly,30985
Sugar Hill,7087
"Jive, FFROE, Zomba",20640
Power Plant Studios,14752
Riot,26848
R&R Digital,28413
PME,25048
"Epic, Jet, CBS Associated",12686
Mexican Summer,1262
Atco Records,5981
Warner Bros. / Maverick,1670
Jet,6830
"WEA, Warner Bros.",9339
Jet / United Artists,12678
Yen,21417
Kirshner,13239
WEA,6959
Warner Bros. / United Artists,12677
Cutters,18845
"Little Daggers, Universal Music AS",29097
"Columbia, RED Ink",616
New Aeon Musick,28426
Mailboat,28501
LLC,28487
Geographic North,17725
Chapter Music,14301
Infinite Companion,25732
Hopeles,26532
Maybach,19996
Hefty!,15398
100% Electronica,18005
"Question Everything, Empire",21528
Late August Records,27015
Shelflife,18151
DÃ¤mmerung Arts,8564
Federal Prisoner,23336
Hush,1673
"Grand Hustle, EMPIRE",29116
Restless/Bar/None,16344
Lo Tom,29080
Other Music,6635
Practise,25041
Republic of Music,3289
Infectious,2686
Late August,26993
American Recordings,1000
Albert/Atlantic Records,2783
El Paraiso,6659
Fiction / Sire,3116
Elektra/Asylum,478
Fire Records,12248
Artery,13855
Jade Tree Records,4682
Rise Records,9323
"Sony, Sign of the Times Limited",8005
"Epic, V2",5516
Fiction / Elektra,3112
"Team Wang, JYP Entertainment",27044
Svart,11852
Lava/Atlantic,16200
Sony Music / Kitchenware,16181
"Kitchenware, CBS",16177
Ripple Music,28521
Artoffact Records,28049
Jeepster,1175
Family Jukebox,27627
Zambia Music Parlour,25879
Earache Records,3569
RVNG,5510
P. W. Elverum & Sun,3388
Jade Tree,1925
Cascine / flau,12390
Delmark Records,24008
Delmark,16523
L'ami Du Peuple,29829
Lame-O,17015
ATCO Records,13443
Factory,2990
Ruf,19812
"Vanner, RCA Nashville",26553
