genre_code,genre_matches
0,0
0,2
0,3
0,7
0,8
1,1
1,2
1,5
2,1
2,2
3,0
3,2
3,3
3,8
4,0
4,4
4,8
5,1
5,5
6,0
6,1
6,2
6,3
6,4
6,5
6,6
6,7
6,8
7,7
7,8
8,0
8,3
8,8
